date,slot,grid_contract,grid_emergency,charge,discharge,soc_start,soc_end,interval_start,interval_end
2025-02-01,0,774.1452481481398,0.0,319.8198148148064,0.0,9012.162166666674,9300.0,2025-02-01T00:10:00,2025-02-01T00:20:00
2025-02-01,1,1280.0060166666665,0.0,833.3333333333333,0.0,9300.0,10050.0,2025-02-01T00:20:00,2025-02-01T00:30:00
2025-02-01,2,443.3066666666667,0.0,0.0,0.0,10050.0,10050.0,2025-02-01T00:30:00,2025-02-01T00:40:00
2025-02-01,3,476.9869166666667,0.0,0.0,0.0,10050.0,10050.0,2025-02-01T00:40:00,2025-02-01T00:50:00
2025-02-01,4,484.26815000000005,0.0,0.0,0.0,10050.0,10050.0,2025-02-01T00:50:00,2025-02-01T01:00:00
2025-02-01,5,468.2083333333333,0.0,0.0,0.0,10050.0,10050.0,2025-02-01T01:00:00,2025-02-01T01:10:00
2025-02-01,6,490.43896666666666,0.0,0.0,0.0,10050.0,10050.0,2025-02-01T01:10:00,2025-02-01T01:20:00
2025-02-01,7,487.2113166666666,0.0,0.0,0.0,10050.0,10050.0,2025-02-01T01:20:00,2025-02-01T01:30:00
2025-02-01,8,464.605,0.0,0.0,0.0,10050.0,10050.0,2025-02-01T01:30:00,2025-02-01T01:40:00
2025-02-01,9,494.2724,0.0,0.0,0.0,10050.0,10050.0,2025-02-01T01:40:00,2025-02-01T01:50:00
2025-02-01,10,505.68945,0.0,0.0,0.0,10050.0,10050.0,2025-02-01T01:50:00,2025-02-01T02:00:00
2025-02-01,11,487.83666666666664,0.0,0.0,0.0,10050.0,10050.0,2025-02-01T02:00:00,2025-02-01T02:10:00
2025-02-01,12,501.9057666666667,0.0,0.0,0.0,10050.0,10050.0,2025-02-01T02:10:00,2025-02-01T02:20:00
2025-02-01,13,514.9269333333333,0.0,0.0,0.0,10050.0,10050.0,2025-02-01T02:20:00,2025-02-01T02:30:00
2025-02-01,14,507.54333333333335,0.0,0.0,0.0,10050.0,10050.0,2025-02-01T02:30:00,2025-02-01T02:40:00
2025-02-01,15,497.95935000000003,0.0,0.0,0.0,10050.0,10050.0,2025-02-01T02:40:00,2025-02-01T02:50:00
2025-02-01,16,501.06135,0.0,0.0,0.0,10050.0,10050.0,2025-02-01T02:50:00,2025-02-01T03:00:00
2025-02-01,17,514.0583333333333,0.0,0.0,0.0,10050.0,10050.0,2025-02-01T03:00:00,2025-02-01T03:10:00
2025-02-01,18,521.0511333333333,0.0,0.0,0.0,10050.0,10050.0,2025-02-01T03:10:00,2025-02-01T03:20:00
2025-02-01,19,519.49595,0.0,0.0,0.0,10050.0,10050.0,2025-02-01T03:20:00,2025-02-01T03:30:00
2025-02-01,20,512.11,0.0,0.0,0.0,10050.0,10050.0,2025-02-01T03:30:00,2025-02-01T03:40:00
2025-02-01,21,505.44893333333334,12.86080000000004,0.0,0.0,10050.0,10050.0,2025-02-01T03:40:00,2025-02-01T03:50:00
2025-02-01,22,513.3439333333333,0.0,0.0,0.0,10050.0,10050.0,2025-02-01T03:50:00,2025-02-01T04:00:00
2025-02-01,23,526.1366666666667,0.0,0.0,0.0,10050.0,10050.0,2025-02-01T04:00:00,2025-02-01T04:10:00
2025-02-01,24,520.9297333333333,0.0,0.0,0.0,10050.0,10050.0,2025-02-01T04:10:00,2025-02-01T04:20:00
2025-02-01,25,521.74715,0.0,0.0,0.0,10050.0,10050.0,2025-02-01T04:20:00,2025-02-01T04:30:00
2025-02-01,26,535.505,0.0,0.0,0.0,10050.0,10050.0,2025-02-01T04:30:00,2025-02-01T04:40:00
2025-02-01,27,545.0267,0.0,0.0,0.0,10050.0,10050.0,2025-02-01T04:40:00,2025-02-01T04:50:00
2025-02-01,28,552.6248999999999,0.0,0.0,0.0,10050.0,10050.0,2025-02-01T04:50:00,2025-02-01T05:00:00
2025-02-01,29,552.055,0.0,0.0,0.0,10050.0,10050.0,2025-02-01T05:00:00,2025-02-01T05:10:00
2025-02-01,30,534.5888666666666,0.0,0.0,0.0,10050.0,10050.0,2025-02-01T05:10:00,2025-02-01T05:20:00
2025-02-01,31,534.8794666666668,0.0,0.0,0.0,10050.0,10050.0,2025-02-01T05:20:00,2025-02-01T05:30:00
2025-02-01,32,560.1850000000001,0.0,0.0,0.0,10050.0,10050.0,2025-02-01T05:30:00,2025-02-01T05:40:00
2025-02-01,33,1412.865733333333,0.0,833.3333333333333,0.0,10050.0,10800.0,2025-02-01T05:40:00,2025-02-01T05:50:00
2025-02-01,34,0.0,0.0,0.0,531.2274,10800.0,10209.747333333333,2025-02-01T05:50:00,2025-02-01T06:00:00
2025-02-01,35,0.0,0.0,0.0,510.98333333333335,10209.747333333333,9641.988074074074,2025-02-01T06:00:00,2025-02-01T06:10:00
2025-02-01,36,0.0,0.0,0.0,535.1871833333333,9641.988074074074,9047.335648148148,2025-02-01T06:10:00,2025-02-01T06:20:00
2025-02-01,37,0.0,0.0,0.0,533.9993499999999,9047.335648148148,8454.003037037037,2025-02-01T06:20:00,2025-02-01T06:30:00
2025-02-01,38,0.0,0.0,0.0,504.52,8454.003037037037,7893.425259259259,2025-02-01T06:30:00,2025-02-01T06:40:00
2025-02-01,39,0.0,0.0,0.0,519.5536833333333,7893.425259259259,7316.143388888889,2025-02-01T06:40:00,2025-02-01T06:50:00
2025-02-01,40,0.0,0.0,0.0,566.415,7316.143388888889,6686.793388888889,2025-02-01T06:50:00,2025-02-01T07:00:00
2025-02-01,41,0.0,0.0,0.0,608.7916666666666,6686.793388888889,6010.358203703704,2025-02-01T07:00:00,2025-02-01T07:10:00
2025-02-01,42,0.0,0.0,0.0,545.83255,6010.358203703704,5403.877592592593,2025-02-01T07:10:00,2025-02-01T07:20:00
2025-02-01,43,0.0,0.0,0.0,508.1014833333333,5403.877592592593,4839.320388888889,2025-02-01T07:20:00,2025-02-01T07:30:00
2025-02-01,44,0.0,0.0,0.0,512.9337499999999,4839.320388888889,4269.394,2025-02-01T07:30:00,2025-02-01T07:40:00
2025-02-01,45,0.0,0.0,0.0,466.67561666666666,4269.394,3750.865537037037,2025-02-01T07:40:00,2025-02-01T07:50:00
2025-02-01,46,0.0,0.0,0.0,387.8849,3750.865537037037,3319.882314814815,2025-02-01T07:50:00,2025-02-01T08:00:00
2025-02-01,47,0.0,0.0,0.0,318.1729166666667,3319.882314814815,2966.356851851852,2025-02-01T08:00:00,2025-02-01T08:10:00
2025-02-01,48,0.0,0.0,0.0,279.5201666666667,2966.356851851852,2655.778888888889,2025-02-01T08:10:00,2025-02-01T08:20:00
2025-02-01,49,0.0,0.0,0.0,242.59584999999998,2655.778888888889,2386.227944444445,2025-02-01T08:20:00,2025-02-01T08:30:00
