date,actual_soc_start,actual_soc_end,soc_min,soc_max,max_residual,audit_ok,initial_contract_cost,up_cost,down_credit,adjustment_cashflow,emergency_cost,total_cost,increase_kwh,decrease_kwh,emergency_kwh,unused_kwh
2025-02-01,8862.284182098767,9120.983648148147,1770.9836481481477,10800.0,1.1368683772161603e-13,True,22211.863238621772,1089.6600661149118,564.0819314302266,525.5781346846852,3142.2231765680544,25879.664549874513,1427.9156780521253,1646.4725247599463,743.7772305555551,1671.6593499999992
2025-02-02,9120.983648148147,8754.392129629628,1200.0,10800.0,2.2737367544323206e-13,True,55631.02414363893,315.3353397268941,518.6200127952402,-203.28467306834608,1273.745211030557,56701.48468160115,245.51378600822625,1715.0039807722928,377.9958583333339,2050.678633333334
2025-02-03,8754.392129629628,8689.926703703704,1216.6466358024709,10800.0,2.2737367544323206e-13,True,57059.35777119367,83.4536483784517,1374.1587002015915,-1290.70505182314,3755.8887257500055,59524.54144512053,68.71356363888697,3847.4144313383895,917.4947000000016,1754.158974999998
2025-02-04,8689.926703703704,8892.473296296295,1200.000000000001,10800.0,1.1368683772161603e-13,True,59604.03903091271,351.2715201200007,1199.9998332915568,-848.7283131715561,2018.0573281249983,60773.36804586615,255.30695000000048,3252.9474088477446,582.3545666666663,2410.4171166666674
2025-02-05,8892.473296296295,8635.754870370372,1200.0000000000018,10800.0,1.1368683772161603e-13,True,55012.36803442077,1781.1479500397643,292.5931597506311,1488.554790289133,3055.651122968056,59556.573947677956,1927.3249455833338,754.3473596436913,659.9310805555556,1387.6380333333339
2025-02-06,8635.754870370372,8875.569296296297,1200.0000000000016,10800.0,1.1368683772161603e-13,True,59808.46991195044,0.0,2096.5484735736723,-2096.5484735736723,2037.3093492430567,59749.23078761982,0.0,5617.214185182327,508.36405555555604,1760.7692305555545
2025-02-07,8875.569296296297,8164.2995154321,1414.2995154321002,10800.0,1.1368683772161603e-13,True,22215.076861860492,0.0,853.0233991682721,-853.0233991682721,2085.585999265279,23447.6394619575,0.0,3008.157458058987,421.2140666666671,1520.672452777778
2025-02-08,8164.2995154321,8680.506407407409,1325.338564814815,10800.0,1.1368683772161603e-13,True,18400.292347024268,888.3307792850009,91.1528987674999,797.177880517501,7257.144566551394,26454.61479409316,728.1904083333341,221.74163333333314,1734.4331138888892,919.8800166666667
2025-02-09,8680.506407407409,8623.476351851852,1273.476351851852,10800.0,1.1368683772161603e-13,True,53714.81526855333,1625.1221794096766,610.9762882295443,1014.1458911801324,4052.9787471041673,58781.93990683762,1372.795133984912,1628.3770902419458,1023.5390388888893,609.6961666666673
2025-02-10,8623.476351851852,8693.274203703702,1200.0,10800.0,1.1368683772161603e-13,True,51469.244858002094,2839.871110353916,2082.124377766413,757.7467325875027,5593.873517268055,57820.86510785765,2700.7501085390913,6032.25131748971,1722.308236111112,742.3112833333338
2025-02-11,8693.274203703702,8590.959259259262,1240.9592592592612,10800.0,1.1368683772161603e-13,True,51596.24409291764,0.1036530166665897,1569.8980061365785,-1569.7943531199119,8970.972934937507,58997.42267473523,0.07376388888883412,4079.686496221529,2087.8721833333343,627.9963444444443
2025-02-12,8590.959259259262,8626.414037037037,1276.414037037036,10800.0,1.1368683772161603e-13,True,51792.037090643076,34.49074802958382,1588.0624400897811,-1553.5716920601974,9023.847044916673,59262.31244349955,29.067150000000368,4460.040631222568,2185.492602777779,806.0122833333335
2025-02-13,8626.414037037037,8070.270388888888,1200.0000000000014,10800.0,2.2737367544323206e-13,True,47681.09778101108,1617.1513996686288,1138.888385704315,478.2630139643138,7006.764625854169,55166.12542082956,1534.6356385946497,3475.3043860082275,1704.5506500000004,692.0785277777791
2025-02-14,8070.270388888888,7972.468925925927,1345.8904629629633,10800.0,1.1368683772161603e-13,True,17920.164258485634,832.0538250418043,0.0,832.0538250418043,5647.645100652779,24399.863184180216,669.7620099794226,0.0,1489.5401194444446,608.7481
