date,slot,version,issue_time,quantity
2025-02-01,0,0,2025-02-01T00:00:00,603.2632084705083
2025-02-01,1,0,2025-02-01T00:00:00,1280.0060166666665
2025-02-01,2,0,2025-02-01T00:00:00,443.3066666666667
2025-02-01,3,0,2025-02-01T00:00:00,476.9869166666667
2025-02-01,4,0,2025-02-01T00:00:00,484.26815000000005
2025-02-01,5,0,2025-02-01T00:00:00,468.2083333333333
2025-02-01,6,0,2025-02-01T00:00:00,490.43896666666666
2025-02-01,7,0,2025-02-01T00:00:00,487.2113166666666
2025-02-01,8,0,2025-02-01T00:00:00,464.605
2025-02-01,9,0,2025-02-01T00:00:00,494.2724
2025-02-01,10,0,2025-02-01T00:00:00,505.68945
2025-02-01,11,0,2025-02-01T00:00:00,487.83666666666664
2025-02-01,12,0,2025-02-01T00:00:00,501.9057666666667
2025-02-01,13,0,2025-02-01T00:00:00,514.9269333333333
2025-02-01,14,0,2025-02-01T00:00:00,507.54333333333335
2025-02-01,15,0,2025-02-01T00:00:00,497.95935000000003
2025-02-01,16,0,2025-02-01T00:00:00,501.06135
2025-02-01,17,0,2025-02-01T00:00:00,514.0583333333333
2025-02-01,18,0,2025-02-01T00:00:00,521.0511333333333
2025-02-01,19,0,2025-02-01T00:00:00,519.49595
2025-02-01,20,0,2025-02-01T00:00:00,512.11
2025-02-01,21,0,2025-02-01T00:00:00,505.44893333333334
2025-02-01,22,0,2025-02-01T00:00:00,513.3439333333333
2025-02-01,23,0,2025-02-01T00:00:00,526.1366666666667
2025-02-01,24,0,2025-02-01T00:00:00,520.9297333333333
2025-02-01,25,0,2025-02-01T00:00:00,521.74715
2025-02-01,26,0,2025-02-01T00:00:00,535.505
2025-02-01,27,0,2025-02-01T00:00:00,545.0267
2025-02-01,28,0,2025-02-01T00:00:00,552.6250666666666
2025-02-01,29,0,2025-02-01T00:00:00,552.055
2025-02-01,30,0,2025-02-01T00:00:00,534.5888666666666
2025-02-01,31,0,2025-02-01T00:00:00,534.8818666666667
2025-02-01,32,0,2025-02-01T00:00:00,560.1850000000001
2025-02-01,33,0,2025-02-01T00:00:00,1412.865733333333
2025-02-01,34,0,2025-02-01T00:00:00,0.0
2025-02-01,35,0,2025-02-01T00:00:00,0.0
2025-02-01,35,1,2025-02-01T06:00:00,0.0
2025-02-01,36,0,2025-02-01T00:00:00,0.0
2025-02-01,36,1,2025-02-01T06:00:00,0.0
2025-02-01,37,0,2025-02-01T00:00:00,0.0
2025-02-01,37,1,2025-02-01T06:00:00,0.0
2025-02-01,38,0,2025-02-01T00:00:00,0.0
2025-02-01,38,1,2025-02-01T06:00:00,0.0
2025-02-01,39,0,2025-02-01T00:00:00,0.0
2025-02-01,39,1,2025-02-01T06:00:00,0.0
2025-02-01,40,0,2025-02-01T00:00:00,0.0
2025-02-01,40,1,2025-02-01T06:00:00,0.0
2025-02-01,41,0,2025-02-01T00:00:00,0.0
2025-02-01,41,1,2025-02-01T06:00:00,0.0
2025-02-01,42,0,2025-02-01T00:00:00,0.0
2025-02-01,42,1,2025-02-01T06:00:00,0.0
2025-02-01,43,0,2025-02-01T00:00:00,0.0
2025-02-01,43,1,2025-02-01T06:00:00,0.0
2025-02-01,44,0,2025-02-01T00:00:00,0.0
2025-02-01,44,1,2025-02-01T06:00:00,0.0
2025-02-01,45,0,2025-02-01T00:00:00,0.0
2025-02-01,45,1,2025-02-01T06:00:00,0.0
2025-02-01,46,0,2025-02-01T00:00:00,0.0
2025-02-01,46,1,2025-02-01T06:00:00,0.0
2025-02-01,47,0,2025-02-01T00:00:00,0.0
2025-02-01,47,1,2025-02-01T06:00:00,0.0
2025-02-01,48,0,2025-02-01T00:00:00,0.0
2025-02-01,48,1,2025-02-01T06:00:00,0.0
2025-02-01,49,0,2025-02-01T00:00:00,0.0
2025-02-01,49,1,2025-02-01T06:00:00,0.0
2025-02-01,50,0,2025-02-01T00:00:00,0.0
2025-02-01,50,1,2025-02-01T06:00:00,0.0
2025-02-01,51,0,2025-02-01T00:00:00,0.0
2025-02-01,51,1,2025-02-01T06:00:00,0.0
2025-02-01,52,0,2025-02-01T00:00:00,0.0
2025-02-01,52,1,2025-02-01T06:00:00,0.0
2025-02-01,53,0,2025-02-01T00:00:00,0.0
2025-02-01,53,1,2025-02-01T06:00:00,0.0
2025-02-01,54,0,2025-02-01T00:00:00,0.0
2025-02-01,54,1,2025-02-01T06:00:00,0.0
2025-02-01,55,0,2025-02-01T00:00:00,0.0
2025-02-01,55,1,2025-02-01T06:00:00,0.0
2025-02-01,56,0,2025-02-01T00:00:00,0.0
2025-02-01,56,1,2025-02-01T06:00:00,0.0
2025-02-01,57,0,2025-02-01T00:00:00,0.0
2025-02-01,57,1,2025-02-01T06:00:00,0.0
2025-02-01,58,0,2025-02-01T00:00:00,0.0
2025-02-01,58,1,2025-02-01T06:00:00,0.0
2025-02-01,59,0,2025-02-01T00:00:00,0.0
2025-02-01,59,1,2025-02-01T06:00:00,0.0
2025-02-01,60,0,2025-02-01T00:00:00,0.0
2025-02-01,60,1,2025-02-01T06:00:00,0.0
2025-02-01,61,0,2025-02-01T00:00:00,0.0
2025-02-01,61,1,2025-02-01T06:00:00,0.0
2025-02-01,62,0,2025-02-01T00:00:00,0.0
2025-02-01,62,1,2025-02-01T06:00:00,0.0
2025-02-01,63,0,2025-02-01T00:00:00,0.0
2025-02-01,63,1,2025-02-01T06:00:00,0.0
2025-02-01,64,0,2025-02-01T00:00:00,0.0
2025-02-01,64,1,2025-02-01T06:00:00,0.0
2025-02-01,65,0,2025-02-01T00:00:00,0.0
2025-02-01,65,1,2025-02-01T06:00:00,0.0
2025-02-01,66,0,2025-02-01T00:00:00,0.0
2025-02-01,66,1,2025-02-01T06:00:00,0.0
2025-02-01,67,0,2025-02-01T00:00:00,0.0
2025-02-01,67,1,2025-02-01T06:00:00,0.0
2025-02-01,68,0,2025-02-01T00:00:00,0.0
